seq,name,n,cpu_ms,gpu_ms,kind
0,W_L#0,88899,51.000,293.000,cpu-wins
1,W_R#1,88899,29.000,25.000,gpu-wins
2,W_O#2,88899,34.000,26.000,gpu-wins
3,ECC_OP_WIRE_1#3,1,0.000,18.000,cpu-wins
4,ECC_OP_WIRE_2#4,1,0.000,9.000,cpu-wins
5,ECC_OP_WIRE_3#5,1,0.000,9.000,cpu-wins
6,ECC_OP_WIRE_4#6,1,0.000,10.000,cpu-wins
7,KERNEL_CALLDATA#7,4,0.000,15.000,cpu-wins
8,KERNEL_CALLDATA_READ_COUNTS#8,4,0.000,9.000,cpu-wins
9,FIRST_APP_CALLDATA#9,4,0.000,10.000,cpu-wins
10,FIRST_APP_CALLDATA_READ_COUNTS#10,4,1.000,10.000,cpu-wins
11,SECOND_APP_CALLDATA#11,4,0.000,9.000,cpu-wins
12,SECOND_APP_CALLDATA_READ_COUNTS#12,4,0.000,10.000,cpu-wins
13,THIRD_APP_CALLDATA#13,4,0.000,9.000,cpu-wins
14,THIRD_APP_CALLDATA_READ_COUNTS#14,4,0.000,9.000,cpu-wins
15,RETURN_DATA#15,874,2.000,140.000,cpu-wins
16,RETURN_DATA_READ_COUNTS#16,874,0.000,8.000,cpu-wins
17,LOOKUP_READ_COUNTS#17,36863,1.000,144.000,cpu-wins
18,LOOKUP_READ_TAGS#18,36863,1.000,20.000,cpu-wins
19,W_4#19,88899,44.000,59.000,cpu-wins
20,LOOKUP_INVERSES#20,36863,16.000,26.000,cpu-wins
21,KERNEL_CALLDATA_INVERSES#21,871,1.000,12.000,cpu-wins
22,FIRST_APP_CALLDATA_INVERSES#22,871,0.000,8.000,cpu-wins
23,SECOND_APP_CALLDATA_INVERSES#23,871,0.000,7.000,cpu-wins
24,THIRD_APP_CALLDATA_INVERSES#24,871,0.000,6.000,cpu-wins
25,RETURN_DATA_INVERSES#25,874,6.000,14.000,cpu-wins
26,Z_PERM#26,88899,87.000,57.000,gpu-wins
27,?#27,62,1.000,0.000,gpu-missing
28,?#28,5,0.000,0.000,gpu-missing
29,W_L#29,33050,22.000,27.000,cpu-wins
30,W_R#30,33050,23.000,15.000,gpu-wins
31,W_O#31,33050,22.000,16.000,gpu-wins
32,ECC_OP_WIRE_1#32,141,1.000,81.000,cpu-wins
33,ECC_OP_WIRE_2#33,141,1.000,11.000,cpu-wins
34,ECC_OP_WIRE_3#34,141,2.000,11.000,cpu-wins
35,ECC_OP_WIRE_4#35,141,1.000,7.000,cpu-wins
36,KERNEL_CALLDATA#36,4,0.000,10.000,cpu-wins
37,KERNEL_CALLDATA_READ_COUNTS#37,4,0.000,9.000,cpu-wins
38,FIRST_APP_CALLDATA#38,874,1.000,12.000,cpu-wins
39,FIRST_APP_CALLDATA_READ_COUNTS#39,874,0.000,6.000,cpu-wins
40,SECOND_APP_CALLDATA#40,4,0.000,9.000,cpu-wins
41,SECOND_APP_CALLDATA_READ_COUNTS#41,4,1.000,11.000,cpu-wins
